,72703,72711,72712,72713,KFVE0
2005-05-11,0,4.139999866485596,0,0,4.860000133514404
2005-05-12,0,0,0,0,0
2005-05-13,0,0,0,0,0
2005-05-14,0,0,0,0,0
2005-05-15,6.860000133514404,16.920000076293945,8.100000381469727,7.320000171661377,10.170000076293945
2005-05-16,10.75,5.670000076293945,12.079999923706055,11.59000015258789,11.979999542236328
2005-05-17,1.100000023841858,0,1.8300000429153442,2.4700000286102295,1.5199999809265137
2005-05-18,0,5.630000114440918,0,0,0
2005-05-19,1.5499999523162842,0,0,0,0
2005-05-20,1.309999942779541,1.940000057220459,1.5499999523162842,0.4000000059604645,2.7100000381469727
2005-05-21,1.5800000429153442,4.849999904632568,2.3299999237060547,1.2200000286102295,2.9000000953674316
2005-05-22,6.360000133514404,8.579999923706055,18.8700008392334,11.279999732971191,21.270000457763672
2005-05-23,5.760000228881836,5.570000171661377,5.96999979019165,5.78000020980835,5.46999979019165
2005-05-24,0,0,0,0,0
2005-05-25,0,3.200000047683716,0,0,0
2005-05-26,17.190000534057617,9.640000343322754,5.119999885559082,7.199999809265137,5.550000190734863
2005-05-27,7.679999828338623,1.3799999952316284,7.429999828338623,8.510000228881836,0
2005-05-28,0.8700000047683716,0,2.1500000953674316,1.6399999856948853,2.7200000286102295
2005-05-29,1.659999966621399,3.930000066757202,5.960000038146973,5.800000190734863,4.880000114440918
2005-05-30,1.2200000286102295,4.960000038146973,1.0499999523162842,1.6699999570846558,0
2005-05-31,0,0,0,0,0
2005-06-01,0,0,0,0,0
2005-06-02,0,0,0,0,0
2005-06-03,0,0,0,0,0
2005-06-04,0,4.5,0,0,0
2005-06-05,6.440000057220459,3.440000057220459,0,4.900000095367432,0
2005-06-06,4.619999885559082,15.029999732971191,8.720000267028809,8.079999923706055,12.359999656677246
2005-06-07,2.7300000190734863,0,3.5799999237060547,5.570000171661377,0
2005-06-08,0,0,0,0,0
2005-06-09,0,1.3300000429153442,0,0,0
2005-06-10,0,0,0,0,0
2005-06-11,0,7.090000152587891,0,0,8.880000114440918
2005-06-12,11.579999923706055,15.270000457763672,18.030000686645508,10.270000457763672,14.369999885559082
2005-06-13,19.479999542236328,12.960000038146973,0,21.34000015258789,0
2005-06-14,7.570000171661377,16.010000228881836,12.9399995803833,16.889999389648438,3.240000009536743
2005-06-15,3.190000057220459,12.789999961853027,9.710000038146973,6.75,15.149999618530273
2005-06-16,8.279999732971191,4.019999980926514,6.25,7.260000228881836,6.190000057220459
2005-06-17,7.059999942779541,12.079999923706055,4.889999866485596,4.510000228881836,11.59000015258789
2005-06-18,2.5899999141693115,0.9100000262260437,2.059999942779541,2.990000009536743,4.510000228881836
2005-06-19,0,0,0,0,0
2005-06-20,0,0,0,0,0
2005-06-21,0,2.2100000381469727,0,0,3.059999942779541
2005-06-22,1.899999976158142,0,0.7200000286102295,0.6000000238418579,0
2005-06-23,0,0,0,0,0
2005-06-24,0,0,0,0,3.109999895095825
2005-06-25,0.5699999928474426,0,0,0,0
2005-06-26,0,0,0,0,0
2005-06-27,0,0,0,0,0
2005-06-28,0,0,0,0,0
2005-06-29,9.5,0,0,0,0
2005-06-30,1.7100000381469727,0,0,0,0
2005-07-01,1.059999942779541,6.980000019073486,0,0,0
2005-07-02,0,0,0,0,0
2005-07-03,0,0,0,0,0
2005-07-04,0,0,0,0,0
2005-07-05,6.590000152587891,12.880000114440918,13.779999732971191,11.869999885559082,11.09000015258789
2005-07-06,7.449999809265137,0,7.190000057220459,12.430000305175781,0
2005-07-07,0,0,0,0,0
2005-07-08,0,0,0,0,0
2005-07-09,8.010000228881836,36.040000915527344,17.790000915527344,18.299999237060547,38.279998779296875
2005-07-10,3.5899999141693115,2.5399999618530273,3.559999942779541,5.059999942779541,16.149999618530273
2005-07-11,4.940000057220459,0,0,6.639999866485596,0
2005-07-12,3.1600000858306885,0,5.199999809265137,6.110000133514404,0
2005-07-13,0,3.9800000190734863,0,0,5.380000114440918
2005-07-14,28.860000610351562,12.8100004196167,18.6299991607666,19.690000534057617,12.210000038146973
2005-07-15,0,0,0,14.569999694824219,0
2005-07-16,0,0,0,0,0
2005-07-17,0,0,0,0,0
2005-07-18,0,2.380000114440918,0,0,4.329999923706055
2005-07-19,0,4.690000057220459,14.069999694824219,0,6.71999979019165
2005-07-20,0,0,0,20.100000381469727,0
2005-07-21,0,0,0,0,0
2005-07-22,18.190000534057617,8.75,8.25,10.069999694824219,3.740000009536743
2005-07-23,11.739999771118164,1.440000057220459,3.819999933242798,6.710000038146973,0.6800000071525574
2005-07-24,0,5.239999771118164,0,0,0
2005-07-25,5.46999979019165,7.820000171661377,2.190000057220459,2.7100000381469727,0
2005-07-26,0,6.199999809265137,0,0,8.649999618530273
2005-07-27,5.559999942779541,2.450000047683716,3.890000104904175,2.3299999237060547,7.119999885559082
2005-07-28,0,0,0,0,0
2005-07-29,0,0,0,0,0
2005-07-30,0,0,0,0,0
2005-07-31,0,5.03000020980835,0,0,0
2005-08-01,13.119999885559082,9.220000267028809,5.46999979019165,5.349999904632568,8.210000038146973
2005-08-02,9.020000457763672,5,7.130000114440918,7.360000133514404,6.5
2005-08-03,0,0,0,0,0
2005-08-04,0,0,0,0,0
2005-08-05,0,3.369999885559082,2.630000114440918,2.4800000190734863,2.259999990463257
2005-08-06,0,0,0,0,0
2005-08-07,0,0,0,0,0
2005-08-08,0,0,0,0,0
2005-08-09,0,0,0,0,0
2005-08-10,12.600000381469727,16.309999465942383,9.84000015258789,11.25,5.760000228881836
2005-08-11,4.590000152587891,0,4.260000228881836,7.179999828338623,0
2005-08-12,0,4.389999866485596,0,0,2.4800000190734863
2005-08-13,1.4700000286102295,0.9599999785423279,1.8700000047683716,2.0399999618530273,0
2005-08-14,0.8600000143051147,2.2699999809265137,0,0,0
2005-08-15,0,0,0,0,0
2005-08-16,0,6.960000038146973,4.260000228881836,0,2.640000104904175
2005-08-17,0,0,1.3799999952316284,0,0.10000000149011612
2005-08-18,0,0,0,0,0
2005-08-19,0,0,0,0,0
2005-08-20,1.940000057220459,8.119999885559082,3.8399999141693115,2.430000066757202,11.850000381469727
2005-08-21,5.579999923706055,2.75,6.079999923706055,4.519999980926514,7.860000133514404
2005-08-22,3.9100000858306885,3.7899999618530273,8.010000228881836,7.110000133514404,9.90999984741211
2005-08-23,0,3.5199999809265137,2.549999952316284,0,1.9900000095367432
2005-08-24,5.239999771118164,0,3.009999990463257,4.610000133514404,2.6500000953674316
2005-08-25,0,0,0,0,0
2005-08-26,0,0,0,0,0
2005-08-27,0,0,0,0,0
2005-08-28,0,0,0,0,0
2005-08-29,41.84000015258789,20,15.600000381469727,16.459999084472656,15.229999542236328
2005-08-30,36.040000915527344,10.930000305175781,22.790000915527344,45.34000015258789,5.78000020980835
2005-08-31,28.760000228881836,66.75,45.11000061035156,40.18000030517578,57.7400016784668
2005-09-01,7.909999847412109,0,13.920000076293945,22.149999618530273,7.369999885559082
2005-09-02,0,5.510000228881836,0,0,0
2005-09-03,0,0,0,0,0
2005-09-04,0,0,0,0,0
