id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KJAQ0,Jackson / Sutter Hill,US,CA,,KJAQ,38.3768,-120.7939,515.0,America/Los_Angeles,2020-01-14,2025-02-06,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KL080,Borrego Springs,US,CA,,KL08,33.259,-116.321,159.0,America/Los_Angeles,2020-01-14,2025-02-06,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KL180,Fallbrook / Deluz,US,CA,,KL18,33.3542,-117.2509,216.0,America/Los_Angeles,2020-01-14,2025-02-06,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KL350,Big Bear City,US,CA,,KL35,34.2638,-116.856,2058.0,America/Los_Angeles,2014-07-31,2025-02-06,2014-08-06,2022-04-24,2020-01-01,2022-01-01
KL520,Oceano / Oceano Beach,US,CA,,KL52,35.1015,-120.6224,4.0,America/Los_Angeles,2020-01-14,2023-04-09,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KLHM0,Lincoln / Ewing,US,CA,,KLHM,38.9092,-121.3513,37.0,America/Los_Angeles,2009-05-10,2025-02-06,2009-05-22,2022-04-24,2009-01-01,2022-01-01
KLMO0,Lemoore / Marnett,US,CA,,KLMO,40.1643,-105.1637,1541.0,America/Denver,2010-12-02,2025-02-06,2010-12-17,2022-04-24,2011-01-01,2022-01-01
KLVK0,Livermore / East Pleasanton,US,CA,,KLVK,37.6934,-121.8204,122.0,America/Los_Angeles,2000-01-01,2025-02-06,2000-01-02,2022-04-24,2000-01-01,2021-01-01
KMAE0,Madera / Notarb,US,CA,,KMAE,36.9886,-120.1124,78.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KMCC0,Sacramento / McClellan Park,US,CA,,KMCC,38.6676,-121.4006,23.0,America/Los_Angeles,1939-11-09,2025-02-06,1941-02-09,2022-04-24,1941-01-01,2022-01-01
KMCE0,Merced,US,CA,,KMCE,37.2848,-120.5139,47.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KMHR0,Sacramento / Mather Field,US,CA,,KMHR,38.5553,-121.2973,30.0,America/Los_Angeles,2004-01-01,2025-02-06,2010-06-11,2022-04-24,2010-01-01,2022-01-01
KMHV0,Mojave / Chaffee,US,CA,,KMHV,35.0586,-118.1506,854.0,America/Los_Angeles,2006-01-02,2025-02-06,2011-01-14,2022-04-21,2011-01-01,2022-01-01
KMMH0,Mammoth / Whitmore Hot Springs,US,CA,,KMMH,37.6241,-118.8388,2175.0,America/Los_Angeles,2006-01-03,2025-02-06,2008-09-27,2022-04-24,2009-01-01,2022-01-01
KMOD0,Modesto City / Riverside,US,CA,,KMOD,37.6258,-120.9544,30.0,America/Los_Angeles,1973-01-01,2025-02-06,1998-05-16,2022-04-24,1999-01-01,2021-01-01
KMYV0,Marysville / Alicia,US,CA,,KMYV,39.0978,-121.5698,20.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-03,2022-04-24,2008-01-01,2021-01-01
KNFG0,Oceanside / Chappo,US,CA,,KNFG,33.3011,-117.3551,24.0,America/Los_Angeles,1973-01-02,2025-02-06,1977-08-23,2022-04-24,1987-01-01,2020-01-01
KNRC0,Crows Landing / Jet,US,CA,,KNRC,37.408,-121.1094,51.0,America/Los_Angeles,1973-01-02,1994-03-09,,,,
KNRS0,Imperial Beach,US,CA,,KNRS,32.5667,-117.1167,7.0,America/Los_Angeles,1973-01-01,2025-02-06,1973-01-12,2022-04-24,2008-01-01,2018-01-01
KNUC0,San Clemente / Avalon,US,CA,,KNUC,33.0227,-118.5885,56.0,America/Los_Angeles,1943-06-10,2025-02-06,1943-06-10,2022-04-23,1945-01-01,1986-01-01
KNXF0,Oceanside / Las Flores,US,CA,,KNXF,33.2856,-117.4565,27.0,America/Los_Angeles,2009-10-29,2024-07-22,2009-10-30,2022-04-24,,
KO050,Chester,US,CA,,KO05,40.2824,-121.2412,1382.0,America/Los_Angeles,2021-06-22,2025-02-06,2021-06-22,2022-04-24,2021-01-01,2022-01-01
KO220,Columbia / Springfield,US,CA,,KO22,38.0304,-120.4146,646.0,America/Los_Angeles,2009-01-20,2025-02-06,2009-01-21,2022-04-24,2011-01-01,2022-01-01
KO540,Weaverville,US,CA,,KO54,40.7473,-122.9223,716.0,America/Los_Angeles,2010-10-30,2025-02-06,2010-10-31,2020-08-12,2011-01-01,2020-01-01
KO690,Petaluma / East Petaluma,US,CA,,KO69,38.2578,-122.6053,27.0,America/Los_Angeles,2014-07-31,2025-02-06,2014-08-01,2022-04-24,2020-01-01,2022-01-01
KO860,Trinity Center,US,CA,,KO86,40.9828,-122.6937,729.0,America/Los_Angeles,2014-07-31,2025-02-06,2014-08-01,2022-01-22,2020-01-01,2021-01-01
KOKB0,Oceanside / El Camino 76 Trailer Park,US,CA,,KOKB,33.218,-117.3515,9.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-22,2006-01-01,2021-01-01
KOXR0,Oxnard,US,CA,,KOXR,34.2008,-119.2072,14.0,America/Los_Angeles,1944-04-01,2025-02-06,1944-04-02,2022-04-24,1944-01-01,2022-01-01
KPAO0,Palo Alto / Runnymeade (Historical),US,CA,,KPAO,37.4611,-122.1151,2.0,America/Los_Angeles,2006-01-01,2025-02-06,,,,
KPOC0,La Verne,US,CA,,KPOC,34.0916,-117.7818,309.0,America/Los_Angeles,2006-01-03,2025-02-06,,,,
KPRB0,Paso Robles / Estrella,US,CA,,KPRB,35.6729,-120.6271,256.0,America/Los_Angeles,1941-12-01,2025-02-06,1942-02-02,2022-04-24,1942-01-01,2022-01-01
KPSP0,Palm Springs,US,CA,,KPSP,33.8297,-116.5067,145.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KPTV0,Porterville / Lois,US,CA,,KPTV,36.0296,-119.0627,135.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KPVF0,Placerville / Smithflat,US,CA,,KPVF,38.7242,-120.7533,788.0,America/Los_Angeles,2009-07-11,2025-02-06,2009-07-11,2022-04-24,2020-01-01,2022-01-01
KRAL0,Riverside / Arlanza,US,CA,,KRAL,33.9519,-117.4451,250.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-01,2022-04-24,2006-01-01,2021-01-01
