station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias,season
KMCC0,363,0.1278236914600551,0.05168565155413977,-0.07613803990591532,0.11438245285287767,0.961554811491688,0.32162504213422827,-0.595648889781191,7.522508546799197,0.32162504213422827,0.5979429139952346,-59.5648889781191,Summer
KWVI0,1690,0.03201183431952663,0.059536531084103755,0.027524696764577118,0.07674180876991978,0.4161390618448462,-0.4570491191655721,0.8598287898731114,12.999538161142144,-0.4570491191655721,0.12390483520582421,85.98287898731114,Summer
KEDU0,363,0.032782369146005505,0.02760406146389517,-0.005178307682110331,0.03264878685617824,0.2479934536411975,0.7030486023056168,-0.1579601418996681,7.564842325357538,0.7030486023056168,0.932210309480785,-15.796014189966812,Summer
QX6JS,271,0.09667896678966789,0.13808973082850276,0.041410764038834876,0.1170573990289609,0.6320538573291995,0.5885234952473759,0.42833271200474243,6.537656310542483,0.5885234952473759,0.7838794934369083,42.83327120047424,Summer
ZGK9P,271,0.24944649446494463,0.2963817969556746,0.04693530249072993,0.2415069764454694,1.425069624236559,0.7891607496471601,0.18815779548798536,5.712927043906916,0.7891607496471601,0.8946750147050985,18.815779548798538,Summer
KIZA0,363,0.0603305785123967,0.09365261692999274,0.03332203841759606,0.09298601073611686,0.5932512689443052,-0.12058744741474392,0.552324198428647,9.833342950994648,-0.12058744741474392,0.5598548163809769,55.232419842864694,Summer
72380,1958,0.17742594484167518,0.16376939828880108,-0.013656546552874125,0.2736449517011708,1.6453142384990485,0.009818978158929959,-0.0769704034269647,9.273244902075811,0.009818978158929959,0.2595904415226382,-7.697040342696471,Summer
KMYV0,1517,0.047462096242584045,0.04998008184464518,0.0025179856020611387,0.05831400201124909,0.6092552263935486,0.36390535537286695,0.05305255775453816,12.836669144986296,0.36390535537286695,0.603617213634562,5.305255775453816,Summer
KWHP0,363,0.4134986225895317,0.2749940427048324,-0.13850457988469927,0.39394500981304714,3.568437044483807,0.4049318732359516,-0.33495777813554856,8.629864404714336,0.4049318732359516,0.6398496732615109,-33.49577781355486,Summer
KRNM0,1702,0.07761457109283196,0.14075274367865412,0.06313817258582215,0.15165747393950288,0.9047184940492563,0.45784751088186615,0.8134834953903808,11.656554707583908,0.45784751088186615,0.6872087866534295,81.34834953903807,Summer
72281,1954,0.07958034800409416,0.13804820122449102,0.05846785322039684,0.16687779303014635,0.9628579970996312,0.05591444311724081,0.7347021555797777,12.099193095387005,0.05591444311724081,0.4760243298768964,73.47021555797777,Summer
KSIY0,1978,0.2514155712841254,0.31536345817829997,0.06394788689417456,0.3460986153348428,1.7383304019821444,0.07402341526676048,0.25435133777735225,6.91417159686443,0.07402341526676048,0.4704682093106706,25.435133777735228,Summer
KMAE0,1709,0.017203042715038034,0.032705976889105835,0.015502934174067801,0.03078187581094273,0.352500735594912,0.07548910991069235,0.9011739627034651,20.490603984071587,0.07548910991069235,0.6391052466512394,90.11739627034652,Summer
74516,366,0.3789617486338798,0.023040860021024887,-0.3559208886128548,0.3786580226316003,5.849382098830805,-0.000703305603651394,-0.9392000377238994,15.435283692660954,-0.000703305603651394,0.060733675670399404,-93.92000377238995,Summer
KMMH0,363,0.7606060606060605,0.7357283821614169,-0.024877678444643694,0.6391210370505175,1.7347970226607514,0.33657322927095823,-0.03270770472801761,2.2808088345738966,0.33657322927095823,0.6728786573238472,-3.270770472801761,Summer
KSEE0,363,0.14545454545454545,0.1507526761739227,0.0052981307193772425,0.13817379465392046,1.0522399708979155,0.7529766624318059,0.03642464869571854,7.23414979992317,0.7529766624318059,0.9138362334087633,3.6424648695718544,Summer
KBLH0,2252,0.14103019538188277,0.16428713598509853,0.02325694060321575,0.25008186469939875,1.5190901009845441,-0.09900642065287268,0.16490752593967842,10.771381950306024,-0.09900642065287268,0.18538619232909817,16.49075259396784,Summer
72591,4039,0.1641743005694479,0.1989802584904037,0.034805957920955824,0.22067285277727605,1.3907104515287498,-0.010070689964350565,0.21200612885347694,8.470938793130177,-0.010070689964350565,0.49332266267711367,21.200612885347695,Summer
