station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias
KPSP0,19,50.91052631578947,187.06893538968458,136.15840907389511,136.15840907389511,149.46325153568023,-7.488781294063992,2.674464770395955,2.9358025216354022,-7.488781294063992,0.60345950853191,267.44647703959555
KSDM0,19,112.82105263157897,332.6066815775723,219.78562894599332,219.78562894599332,249.7074780472936,-3.418644436708747,1.9480905719228738,2.213305692712529,-3.418644436708747,0.491808298775601,194.80905719228738
74612,40,87.2175,152.15343664218972,64.93593664218972,64.93593664218972,73.21560655048555,-0.485876856197031,0.7445287544608561,0.8394600458679227,-0.485876856197031,0.8939543409796283,74.45287544608561
69014,19,378.0421052631579,450.7308528652074,72.6887476020495,89.77428141291057,145.7987279565791,0.415727554444131,0.19227685644023787,0.3856679611258845,0.415727554444131,0.7893094924820003,19.227685644023786
72482,14,368.34285714285716,530.0459752375752,161.70311809471806,165.0887462597731,209.20226272595562,0.22234584558334924,0.4390016392580773,0.5679552587192404,0.22234584558334924,0.8361067042611992,43.900163925807725
KPRB0,23,119.9695652173913,304.33352746983445,184.36396225244312,193.75026318676754,229.44618811282973,-1.7743809176295966,1.5367561090878816,1.9125366312452736,-1.7743809176295966,0.42580947087377874,153.67561090878814
KSNA0,20,111.86000000000001,327.0035160927107,215.14351609271066,215.14351609271066,251.40626035031076,-3.3678923647649643,1.9233284113419509,2.2475081383006503,-3.3678923647649643,0.5526373127936555,192.3328411341951
72494,45,498.9666666666666,549.9059499436856,50.939283277018994,60.24430706870232,74.68524256412884,0.8297007470016754,0.1020895516274013,0.14967982343001307,0.8297007470016754,0.9552998941180525,10.20895516274013
K9L20,13,68.93846153846154,125.36479984298381,56.426338304522275,60.21066836247053,77.43010325735969,0.12903325727619275,0.8185030104427466,1.1231771282589555,0.12903325727619275,0.7852185742867221,81.85030104427467
KFUL0,19,126.33684210526319,319.7750638426382,193.43822173737493,193.43822173737493,214.15372929633145,-1.4219044091439978,1.531130733631946,1.6951011734003902,-1.4219044091439978,0.7922937721026959,153.1130733631946
KWJF0,24,76.27083333333333,201.41674978659077,125.14591645325743,125.14591645325743,145.6835502748435,-3.704034660690768,1.640809612061283,1.9100820576871043,-3.704034660690768,0.6328550208651705,164.08096120612828
